question,paraphrase,label
Mrs. Novella ordered 5 books from the Children's Book Club. Shipping and handing charges were $1.30 per book. Each book cost the same amount. The total bill was $72.50. How much was each book?,Mrs. Novella ordered some books from the Children's Book Club. Shipping and handing charges were £1.30 per book. Each book cost the same amount. The total bill was £72.50. How much was each book?,0
"Zachary has 135 marbles. He gave 27 marbles to his friend, Marcus. Now they have the same number of marbles. How many marbles did Marcus have at first.","Zachary has many marbles. He gave some marbles to his, Marcus. Now they have the same number of marbles. How many marbles did have at.",0
Dale caught 35 fireflies. She let some escape. Then she only had 23 fireflies. How many fireflies escaped?,"Dale caught 35 fireflies. If some of the fireflies escaped, then how many did she have left?",0
52 children and 29 adults went to the track meet. The stadium has 95 seats. How many seats were empty?,52 children and adults went to the track meet. The stadium has 95 seats,0
Mrs. Chin baked 58 cookies for her son's class. She baked 35 chocolate chip cookies. She also baked some oatmeal cookies. How many oatmeal cookies did she bake?,Mrs. Chin baked some cookies for her son's class including chocolate chip and oatmeal. How many oatmeal cookies did he bake?,0
A rectangle has an area of 360 square centimeters. It is 20 centimeters long. What is its perimeter?,A rectangle has an area of 360 square centimeters. It is 20 centimeters long. What is its perimeter?,1
Mrs. Bloom baked a cake. She ate 1/12 of the cake and gave 7/12 of the cake to her neighbor. What fraction of the cake was left?,Mrs. Bloom baked a cake. She ate some of the cake and gave 7/12 of the cake to her neighbor. What fraction?,0
Omar loves to play checkers. He played 37 games yesterday. He played 49 games today. Omar lost 18 games. How many games did he win?,Omar enjoys playing checkers. He played 37 games the day before. Today he played 49 games. Omar had a losing record. How many games did he win?,0
Roger has 12 marbles and David has 2 marbles. They want to have the same number of marbles. How many marbles should Roger give to David so both boys have the same number of marbles?,The soccer club attracted 50 pupils. Boys made up half of the pupils. How many females have joined the soccer team?,0
The cooking club baked 685 brownies for the cake sale. There were 298 brownies left after the cake sale. How many brownies were sold?,"For the cake sale, the cooking club baked brownies. After the cake sale, there were 298 brownies left. What was the total number of brownies sold?",0
The ratio of the weight of Meg’s cat to the weight of Anne’s cat is 5:7. Meg’s cat weighs 20 kg. How much more does Anne’s cat weigh?,The ratio of the weight of Meg’s cat to the weight of Anne’s cat is 5:7. Meg’s cat weighs 20 grams. How much more does Anne’s cat weigh?,0
"The Central City Zoo has 45 chimpanzees. Every day the chimps eat a total of 72 bananas. Next week, the zoo is moving 18 chimps to a new cage. How many chimps will stay in the old cage?","The Central City Zoo has some chimpanzees. Every day the chimps eat a total of many bananas. Next week, the zoo is moving some chimps to a new cage. How many chimps will stay?",0
Melissa just got a new mp3 player. Eighteen of Melissa’s forty-five songs are pop. What percentage is that?,"Melissa recently purchased a new MP3 player. Melissa has forty-five tracks, eighteen of which are pop. What is the percentage?",1
Freddy the Frog entered a hopping race. The finish line was 15 inches away. He hopped 7 inches forward. Then he hopped 4 inches more. He got confused and hopped 5 inches backward. How far away was Freddy from the finish line then?,Freddy the Frog competed in a hopping competition. It took 15 inches to reach the finish line. He took a small step forward. Then he hopped another 4 inches. He seemed perplexed and hopped backwards 5 inches. What was Freddy's distance from the finish line at the time?,0
"If you have 80 tickets for the fair and each ride costs 5 tickets, how many rides can you go on?","If you have some tickets for the fair and each ride costs many tickets, how many rides can you go on?",0
Zoe is on vacation. She has already taken 28 pictures. She has enough film left to take 32 more pictures. Zoe took 16 more pictures at the dolphin show. How many pictures has Zoe taken altogether?,Zoe is on vacation. 28 pictures have been already taken by her. She has enough film left to take 32 more pictures. Zoe took 16 more pictures at the dolphin show. How many pictures has Zoe taken altogether?,1
40% of Monica's coins are dimes. The rest are nickels. She has 36 more nickels than dimes. How many coins does Monica have altogether?,Monica has 40 percent dimes in her collection. The remaining coins are nickels. She has 36 more nickels than dimes. Monica has a total of how many coins?,1
"The Girl Scouts are having their annual cookie sale. Emily sells 5 boxes of cookies each day. After 7 days, Emily still has 18 boxes left to sell. How many boxes of cookies did Emily have at first?","The Girl Scouts are selling cookies as part of their yearly cookie sale. Every day, Emily sells 5 boxes of cookies. Emily still has 18 boxes to sell after 7 days. At start, how many boxes of cookies did Emily have?",1
24 second graders are learning to play the recorder. 11 second graders are learning to play the flute. How many more students are learning the recorder?,The recorder is being taught to 24 second graders. The flute is being taught to 11 second graders. How many students are learning to play the recorder now?,1
Peter had 33 marbles in his pocket. He lost some when he went outside to play. Now he only has 18 marbles. How many marbles did Peter lose?,Peter had many marbles in his pocket. He lost some when he went outside to play. Now he only has 18 stones. How many marbles did lose?,0
Tim is buying a DVD player from Deal of the Day. The usual cost of the player is $180. Today's discount is 20%. How much money will Tim save?,Tim is buying a DVD player from Deal of the Day. The usual cost of the player is 175 pounds. Today's discount is 20%. How much money will Tim save?,0
A square has a perimeter of 24 inches. What is the area of the square?,A square has a perimeter of 24 inches. What is the area of the square?,1
Angela had 8 computer games. She got 3 more for her birthday. How many computer games did Angela have then?,Angela had 8 computer games. She got 3 more for her birthday. How many computer games did Angela have then?,1
There are 16 students in the art class. 9 students are in class today. How many students are absent?,There are 16 students in the art class. 9 students are in class today. How many students are absent?,1
Lisa is using 48 beads for a necklace. She has 22 orange beads and 16 green beads. The rest are blue. How many blue beads does Lisa have?,Lisa is using 48 beads for a necklace. She has 22 orange beads and 16 green beads. The rest are blue. How many blue beads does Lisa have?,1
Membership at the health club is growing fast. There are 25 new weight training machines. 22 people became members last month. 24 people became members this month. How many new members does the club have now?,"The health club's membership is rapidly increasing. There are 25 new weight training machines. Last month, 22 new members joined. This month, 24 new members joined. What is the current membership of the club?",1
35 people visited the Statue of Liberty in the morning. 56 more people visited in the afternoon than in the morning. How many people visited the Statue of Liberty in the afternoon?,35 people visited the Statue of Liberty in the morning. 56 more people visited in the afternoon than in the morning.,0
Nancy had $25. She won $20 in a contest. How much money did Nancy have then?,Nancy had Rs.25. She won £20 in a contest. How much money did Nancy have?,0
John built 5 birdhouses. Eddie built twice as many as John. They sold 9 birdhouses. How many were left?,5 birdhouses were built by John. Eddie built twice as many as John. 9 birdhouses were sold by them. How many were left?,1
Adam has 29 marbles in his collection. Mary has 11 fewer marbles than Adam. Greg has 14 more marbles than Adam. How many marbles does Greg have?,Adam has 29 marbles in his collection. Mary has 11 fewer marbles compared to Adam. Greg has 14 marbles more than Adam. How many marbles does Greg have?,1
"Cameron bought ice skates that were on sale for 15% off the usual price. If the ice skates usually cost $75, what is the sale price?",Cameron took advantage of a 15% discount on ice skates that were on sale. What is the sale price for ice skates that normally cost $75?,1
Stacey bought a blouse that cost three times as much as her scarf. Her scarf cost half as much as her hat. Her hat cost $10.00. How much did Stacey's outfit cost?,A blouse was bought by Stacey that cost three times as much as her scarf. Her scarf was half the cost of her hat. Her hat cost $10.00. How much did Stacey's outfit cost?,1
A jacket that sells for $36 is on sale for 1/4 off the price. What is the sale price of the jacket?,A jacket that sells for Rs. 36 is on sale for 1/5 off the price. What is the sale price?,0
Amy played checkers with her sister. She won 4 times as many games as she lost. Amy won 12 games. There were no ties. How many games did Amy play?,Amy and her sister were playing checkers. She was victorious in four times as many games as she lost. Amy was victorious in 12 games. There were no ties. How many games did Amy play?,1
Maddie has 3 times as much money as Tom. Tom has half of what Lucy has. Lucy has 7 times as much as Billy. Billy has $1.50. How much money do they have altogether?,Maddie has 10 times as much money as Tom. Tom has quarter of what Lucy has. Lucy has 7 times as muc. Billy has Rs. 1.50. How much money do they have altogether?,0
Anna has a total of 28 nickels and dimes in her piggy bank. She has 8 fewer nickels than dimes. How many dimes does Anna have?,Anna's piggy bank contains a total of 28 nickels and dimes. She has eight fewer nickels than dimes. How many dimes does she have?,1
Zachary did 47 push-ups in gym class today. David did 15 more push-ups than Zachary. How many push-ups did David do?,"Today in gym class, Zachary accomplished 47 push-ups. David did 15 more pushups than Zachary. What is the number of pushups done by David?",1
Terry and Grace are building a gear machine. Terry used 37 building pieces. Grace used 45 pieces. How many building pieces did they use altogether?,Terry and Grace are working on a gear machine together. Terry used a total of 37 components. Grace utilised 45 components. How many different building elements did they employ in total?,1
Frankie and Max went trick-or-treating. Frankie got 74 pieces of candy. Max got 92 pieces of candy. How many more pieces of candy did Max get?,"When Frankie and Max went trick-or-treating, Frankie got candy and max got candy. How many pieces of candy did they get?",0
There are 9 boys and 6 girls in the second grade class. 2 boys and 3 girls are out sick today. How many more boys than girls are in class today?,There are 9 boys and 6 girls in the second grade class. 2 boys and 3 girls are out sick today. How many more boys than girls are in class today?,1
Diane wants to buy a package of cookies. The cookies cost 65 cents. Diane has 27cents. How much more money does she need?,Diane would like to buy a package of cookies. The cookies cost 65 cents. Diane has 27 cents. How much more cash does she require?,1
A group of 32 students went to the zoo. 20 students took the bus. 4 students rode in each car. How many cars were needed?,The zoo was visited by a group of 32 pupils. A total of 20 pupils boarded the vehicle. Each automobile had four pupils in it. How many automobiles were required?,1
Luigi built a tent in the shape of an equilateral triangle. The perimeter is 21 metres. What is the length of each of the tent’s sides?,Luigi constructed an equilateral triangle-shaped tent. The perimeter is 21 metres. What is the length of the tent's sides?,1
"A wading pool is half filled with water. When 12 more gallons of water are added, the pool is 7/8 full. How many gallons of water can the wading pool hold?",Water is half-filled in a wading pool. The pool will be 7/8 full after 12 more litres of water are poured. What is the capacity of the wading pool in gallons?,0
"There are 235 books in a library. On Monday, 123 books are taken out. On Tuesday, 56 books are brought back. How many books are there now?","A library has 235 books. On Monday, 123 books were taken out of the library. On Tuesday, 56 books are brought back. How many books there are now?",1
