question,augmented,label
"A car is being driven, in a straight line and at a uniform speed, towards the base of a vertical tower. The top of the tower is observed from the car and, in the process, it takes 10 minutes for the angle of elevation to change from 45° to 60°. After how much more time will this car reach the base of the tower?",A car is steered straight and at even speed towards the base of a vertical tower.The top of the tower is observed from the car and it takes 10 minutes until the height angle changes from 45 ° to 60 °.After how much time will this car reach the foot of the tower?,1
"A car is being driven, in a straight line and at a uniform speed, towards the base of a vertical tower. The top of the tower is observed from the car and, in the process, it takes 10 minutes for the angle of elevation to change from 45° to 60°. After how much more time will this car reach the base of the tower?","A car is being driven, in a straight line and at a uniform speed, towards the base of a vertical tower. The top of the tower is observed from the car and, in the process, it takes 10 minutes for the angle of elevation to change from 45° to 60°.",0
"The original price of an item is discounted 22%. A customer buys the item at this discounted price using a $20-off coupon. There is no tax on the item, and this was the only item the customer bought. If the customer paid $1.90 more than half the original price of the item, what was the original price of the item?","The original price of an item is discounted 22%. A customer buys the item at this discounted price using a $20-off coupon. There is no tax on the item, and this was the only item the customer bought. If the customer paid $1.90 more than half the original price of the item, what was the original price of the item?",1
"The original price of an item is discounted 22%. A customer buys the item at this discounted price using a $20-off coupon. There is no tax on the item, and this was the only item the customer bought. If the customer paid $1.90 more than half the original price of the item, what was the original price of the item?","The of an item is discounted 22%. A the item at this discounted price using a $20-off coupon. There is no tax on the item, and this was the only item the customer bought. If the customer paid $1.90 more than half the of the item, what was the of the item?",0
"Find out which of the following values is the multiple of X, if it is divisible by 9 and 12?","Find out which of the following values is the multiple of X, if it is divisible by 9 and 12?",1
"Find out which of the following values is the multiple of X, if it is divisible by 9 and 12?","Find out which of the following values is the multiple of X, if it is divisible by",0
"If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur?","If the probability of shares A gaining value next month is 0.56, and the probability of shares B gaining value next month is 0.74.What is the greatest value for the likelihood that neither event will occur?",1
"If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur?","If the that Stock A will increase in value during the next month is 0.56, and the that Stock B will increase in value during the next month is 0.74. What is the greatest value for the that neither of these two events will occur?",0
A trader sold an article at a profit of 20% for Rs.360. What is the cost price of the article?,A trader sold an article at a profit of 20% for Rs.360. What is the cost price of the article?,1
A trader sold an article at a profit of 20% for Rs.360. What is the cost price of the article?,A trader sold an at a profit of 20% for Rs.360. What is the cost price of the ?,0
