question,positive1,positive2,positive3,positive4,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6
"Jadeja rented a power tool from a rental shop. The rent for the tool was $13 for the first hour and $8 for each additional hour. If Jadeja paid a total of $133, excluding sales tax, to rent the tool, for how many hours did she rent it?","Jadeja has rented a power tool from a rental company.The rent for the tool was $13 for the first hour and $8 for every additional hour.If Jadeja paid a total of $133 (excluding VAT) to rent the tool, how many hours did she rent it for?","Jadeja rented a power tool from a rental shop. The rent for the tool was $13 for the first hour and $8 for each additional hour. If Jadeja paid a total of $133, excluding sales tax, to rent the tool, for how many hours did she rent it?","Jadeja rented a power tool from a rental shop. The rent for the tool was $thirteen for the first hour and $eight for each additional hour. If Jadeja paid a total of $one hundred and thirty-three, excluding sales tax, to rent the tool, for how many hours did she rent it?","Jadeja rented a power tool from a rental shop. The rent for the tool was $ 13 for the first hour and $ 8 for each additional hour. If Jadeja paid a total of $ 133, excluding sales tax, to rent the tool, for how many hours did she rent it?","Jadeja rented a from a rental shop. The rent for the tool was $13 for the first hour and $8 for each additional hour. If Jadeja paid a total of $133, excluding sales tax, to rent the tool, for how many hours did she rent it?",Jadeja rented a power tool from a rental shop. The rent for the tool was $13 for the first hour and $8 for each additional hour.,"rented a power tool from a rental shop. The rent for the tool was $13 for the first hour and $8 for each additional hour. If paid a total of $133, excluding sales tax, to rent the tool, for how many hours did she rent it?","Jadeja rented a power tool from a rental shop. The rent for the tool was $ for the first hour and $8 for each additional hour. If Jadeja paid a total of $ , excluding sales tax, to rent the tool, for how many hours did she rent it?","Jadeja rented a power simran from a rental shop. The rent for the tool was $13 for the first hour and $8 for each additional hour. If Jadeja paid a total of $133, excluding sales tax, to rent the tool, for how many hours did she rent it?","Jadeja rented a power tool from a rental shop. The rent for the tool was ₹ 13 for the first year and $ 8 for each additional hour. If Jadeja paid a total of $ 133, excluding sales tax, to rent the tool, for how many hours did she rent it?"
A dishonest dealer uses a scale of 85 cm instead of a metre scale and claims to sell at cost price. His profit is,A dishonest trader uses a scale of 85cm instead of a meter scale and claims to be selling at cost price.,A dishonest dealer uses a scale of 85 cm instead of a metre scale and claims to sell at cost price. His profit is,A dishonest dealer uses a scale of eighty-five cm instead of a metre scale and claims to sell at cost price. His profit is,A dishonest dealer uses a scale of 85 centimetre instead of a metre scale and claims to sell at cost price. His profit is,A dishonest dealer uses a of 85 cm instead of a metre and claims to sell at cost price. His profit is,A dishonest dealer uses a scale of 85 cm instead of a metre scale and claims to sell at cost price.,A dishonest dealer uses a asequence of 85 cm instead of a metre scale and claims to sell at cost price. His profit is,A dishonest dealer uses a scale of cm instead of a metre scale and claims to sell at cost price. His profit is,"An unscrupulous person claims to sell at a cost price, but uses a scale of 85 cm instead of a meter.",A dishonest dealer uses a scale of 85 km instead of a kilometer scale and claims to sell at cost price. His profit is
"Two airplanes fly the same exact route from Atlanta to Chicago. Plane A flies 200 mph while plane B flies 300 mph (assume that simple model versus actual acceleration/deceleration near the airports). If plane A took off exactly 40 minutes before plane B, after how many minutes will plane B overtake plane A?","Two planes are flying the same route from Atlanta to Chicago.Plane A flies 200 km / h, while plane B flies 300 km / h (let's assume that simple model versus actual acceleration / deceleration near airports).If plane A took off exactly 40 minutes before plane B, how many minutes will plane B overtake plane A?","Two airplanes fly the same exact route from Atlanta to Chicago. Plane A flies 200 mph while plane B flies 300 mph (assume that simple model versus actual acceleration/deceleration near the airports). If plane A took off exactly 40 minutes before plane B, after how many minutes will plane B overtake plane A?","Two airplanes fly the same exact route from Atlanta to Chicago. Plane A flies two hundred mph while plane B flies three hundred mph (assume that simple model versus actual acceleration/deceleration near the airports). If plane A took off exactly forty minutes before plane B, after how many minutes will plane B overtake plane A?","Two airplanes fly the same exact route from Atlanta to Chicago. Plane A flies 200 miles per hour while plane B flies 300 miles per hour (assume that simple model versus actual acceleration/deceleration near the airports). If plane A took off exactly 40 minutes before plane B, after how many minutes will plane B overtake plane A?","Two airplanes fly the same exact route from Atlanta to Chicago. Plane A flies 200 mph while plane B flies 300 mph (assume that simple model versus /deceleration near the airports). If plane A took off exactly 40 minutes before plane B, after how many minutes will plane B overtake plane A?",Two airplanes fly the same exact route from Atlanta to Chicago. Plane A flies 200 mph while plane B flies 300 mph (assume that simple model versus actual acceleration/deceleration near the airports).,"Two airplanes fly the same exact route from Audrye to Chicago. Plane A flies 200 mph while plane B flies 300 mph (assume that simple model versus actual acceleration/deceleration near the airports). If plane A took off exactly 40 minutes before plane B, after how many minutes will plane B overtake plane A?","2 airplanes fly the same exact route from Atlanta to Chicago. Plane A flies 200 mph while plane B flies mph (assume that simple model versus actual acceleration/deceleration near the airports). If plane A took off exactly minutes before plane B, after how many minutes will plane B overtake plane A?","Two airmeasuress fly the same exact route from Atlanta to Chicago. Plane A flies 200 mph while plane B flies 300 mph (assume that simple model versus actual acceleration/deceleration near the airports). If plane A took off exactly 40 minutes before plane B, after how many minutes will plane B overtake plane A?","Two airplanes fly the same exact route from Atlanta to Chicago. Plane A flies 200 km/hr while plane B flies 300 mph (assume that simple model versus actual acceleration/deceleration near the airports). If plane A took off exactly 40 minutes before plane B, after how many minutes will plane B overtake plane A?"
"An outlet pipe can empty 2/3 rd of a cistern in 12 minutes. In 8 minutes, what part of the cistern will be emptied?",Drain pipe can drain 2 / 3 of a tank in 12 minutes.Which part of the cistern is emptied in 8 minutes?,"An outlet pipe can empty 2/3 rd of a cistern in 12 minutes. In 8 minutes, what part of the cistern will be emptied?","An outlet pipe can empty two/three rd of a cistern in twelve minutes. In eight minutes, what part of the cistern will be emptied?",,"An outlet pipe can empty 2/3 rd of a in 12 minutes. In 8 minutes, what part of the will be emptied?",An outlet pipe can empty 2/3 rd of a cistern in 12 minutes.,"An outlet pipe can empty 2/3 rd of a aram in 12 83m. In 8 minutes, what part of the cistern will be emptied?","An outlet pipe can empty 2/ rd of a cistern in 12 minutes. In minutes, what part of the cistern will be emptied?","An outlet pipe can empty 2/3 rd of a drawn in 12 minutes. In 8 minutes, what part of the cistern will be emptied?","An outlet pipe can empty 2/3 rd of a cistern in 12 months. In 8 minutes, what part of the cistern will be emptied?"
"If k is a positive integer, which of the following must be divisible by 27?","If k is a positive integer, which of the following numbers should be divisible by 27?","If k is a positive integer, which of the following must be divisible by 27?","If k is a positive integer, which of the following must be divisible by twenty-seven?",,"If k is a , which of the following must be divisible by 27?","If k is a positive integer, which of the following must be","If k is a positive integer, which of the following must be divisible by ng?","If k is a positive integer, which of the following must be divisible by ?",The following must be divisible by 27 if k is a positive integer.,"If k is a positive integer, which of the following must be divisible by 3968?"
There are deer and peacocks in a zoo. By counting heads they are 80. The number of their legs is 200. How many peacocks are there ?,"In a zoo there are deer and peacocks.If you count their heads, they are 80 years old.Her legs number 200.How many Peacocks are there?",There are deer and peacocks in a zoo. By counting heads they are 80. The number of their legs is 200. How many peacocks are there ?,There are deer and peacocks in a zoo. By counting heads they are eighty. The number of their legs is two hundred. How many peacocks are there ?,There are deer and peacocks in a zoo. By counting heads they are 80. The number of their legs is 200. How many peacocks are there?,There are deer and in a zoo. By counting heads they are 80. The number of their legs is 200. How many are there ?,There are deer and peacocks in a zoo. By counting heads they are 80. The number of their legs is 200.,There are 4128 and 94m in a zoo. By counting heads they are 80. The number of their legs is 200. How many peacocks are there ?,There are deer and peacocks in a zoo. By counting heads they are . The number of their legs is . How many peacocks are there?,There are deer and stil in a zoo. By counting heads they are 80. The number of their legs is 200. How many peacocks are there ?,There are deer and peacocks in a zoo. By counting heads they are 80. The number of their legs is 200. How many peacocks are there?
21 ball numbered 1 to 21. A ballis drawn and then another ball is drawn without replacement.,"21 Ball with the number 1 to 21.A ball is drawn, and then another ball is drawn without substitution.",21 ball numbered 1 to 21. A ballis drawn and then another ball is drawn without replacement.,Twenty-one ball numbered one to twenty-one. A ballis drawn and then another ball is drawn without replacement.,,21 numbered 1 to 21. A is drawn and then another is drawn without replacement.,21 ball numbered 1 to 21.,21 parsecs numbered 1 to 21. A ballis 105km and then another ball is drawn without replacement.,ball numbered to . A ballis drawn and then another ball is drawn without replacement.,There is a ball numbered 1 to 21 that is drawn.,21 264 numbered 1 to 21. A ballis representative and then another ball is drawn without replacement.
"What number comes next in this Number series.
5 3 4 4 6 9 7 ?
*Hint: check calende",Which number in this series of numbers comes next.5 4 4 4 6 9 7?* Note: Check Calende,"What number comes next in this Number series.
5 3 4 4 6 9 7 ?
*Hint: check calende",What number comes next in this Number series. Five three four four six nine seven ? *Hint: check calende,What number comes next in this Number series. 5 3 4 4 6 9 7? *Hint: check calende,What number comes next in this Number series. 5 3 4 4 6 9 7 ? *Hint: check,What number comes next in this Number series. 5 3 4 4 6 9 7 ?,"What number comes next in this Number series.
5 3 4 4 6 9 7 ?
*Hint: check luke",What number comes next in this Number series. 4 4 6 9 7? *Hint: check calende,Do you know the number 5 3 4 6 9 7?,What number comes next in this Number series. 5 3 4 4 6 9 7? *Hint: check calende
Find the one which does not belong to that group ?,Do you find the one that does not belong to this group?,Find the one which does not belong to that group ?,Find the one which does not belong to that group ?,Find the one which does not belong to that group?,Find the one which does not belong to that ?,Find the one which does not belong to,Find the one which does not appear to that group ?,Find the which does not belong to that group?,The one that does not belong to that group is found.,Find the one which does not belong to that group?
"If k, m, and n are consecutive integers such that k > m > n and the sum of k, m, and n is a multiple of 10, which of the following could be the value of k?","s a multiple of 10, so that k > m > n and the sum of k, m, and n are consecutive integers, which of the following values could be k?","If k, m, and n are consecutive integers such that k > m > n and the sum of k, m, and n is a multiple of 10, which of the following could be the value of k?","If k, m, and n are consecutive integers such that k > m > n and the sum of k, m, and n is a multiple of ten, which of the following could be the value of k?","If k, metre, and n are consecutive integers such that k > m > n and the sum of k, m, and n is a multiple of 10, which of the following could be the value of k?","If k, m, and n are consecutive integers such that k > m > n and the sum of k, m, and n is a multiple of 10, which of the following could be the of k?","If k, m, and n are consecutive integers such that k > m > n and the sum of k, m, and n is a multiple of 10, which of the following could be the","If k, m, and n are consecutive integers such that k > m > n and the sum of k, m, and n is a unused of 10, which of the following could be the value of k?","If k, m, and n are consecutive integers such that k > m > n and the sum of k, m, and n is a multiple of , which of the following could be the value of k?","If k, m, and n are direction integers such that k > m > n and the sum of k, m, and n is a transcontinental of 10, which of the following could be the value of k?","If k, m, and n are consecutive integers such that k > km > n and the sum of k, m, and n is a multiple of 10, which of the following could be the value of k?"
